20482075     father: 20481425      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 40], ['down', 31]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
20482076     father: 20481200XXX   {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 17], ['right', 12], ['down', 71]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 68], ['down', 32]], 43: [['up', 0], ['down', 100]]}
20482077     father: 20481200      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 41], ['down', 59]], 32: [['up', 11], ['right', 18], ['down', 71]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 66], ['down', 31]], 42: [['left', 68], ['down', 32]], 43: [['up', 0], ['down', 100]]}
20482078     father: 20480410      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 48], ['down', 52]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 62], ['down', 35]], 42: [['left', 79], ['down', 21]], 43: [['up', 0], ['down', 100]]}
20482079     father: 20480410      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 48], ['down', 52]], 32: [['up', 7], ['right', 15], ['down', 78]], 34: [['up', 0], ['down', 100]], 41: [['up', 3], ['left', 62], ['down', 35]], 42: [['left', 79], ['down', 21]], 43: [['up', 0], ['down', 100]]}
20482080     father: 20481456      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 28], ['left', 72]], 24: [['left', 100]], 31: [['right', 42], ['down', 58]], 32: [['up', 0], ['right', 28], ['down', 72]], 34: [['up', 0], ['down', 100]], 41: [['up', 4], ['left', 31], ['down', 65]], 42: [['left', 25], ['down', 75]], 43: [['up', 0], ['down', 100]]}
20482081     father: 20481456      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 78], ['right', 22]], 21: [['down', 100]], 23: [['down', 28], ['left', 72]], 24: [['left', 100]], 31: [['right', 42], ['down', 58]], 32: [['up', 0], ['right', 28], ['down', 72]], 34: [['up', 0], ['down', 100]], 41: [['up', 4], ['left', 31], ['down', 65]], 42: [['left', 25], ['down', 75]], 43: [['up', 0], ['down', 100]]}
20482082     father: 20481514      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 34], ['down', 37]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
20482083     father: 20481514      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 96], ['right', 4]], 21: [['down', 100]], 23: [['down', 99], ['left', 1]], 24: [['left', 100]], 31: [['right', 15], ['down', 85]], 32: [['up', 22], ['right', 3], ['down', 75]], 34: [['up', 0], ['down', 100]], 41: [['up', 29], ['left', 34], ['down', 37]], 42: [['left', 19], ['down', 81]], 43: [['up', 0], ['down', 100]]}
20482084     father: 20481821      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 28], ['right', 72]], 21: [['down', 100]], 23: [['down', 91], ['left', 9]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 15], ['right', 55], ['down', 30]], 34: [['up', 1], ['down', 99]], 41: [['up', 9], ['left', 54], ['down', 37]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
20482085     father: 20481821      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 28], ['right', 72]], 21: [['down', 100]], 23: [['down', 91], ['left', 9]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 15], ['right', 55], ['down', 30]], 34: [['up', 1], ['down', 99]], 41: [['up', 9], ['left', 54], ['down', 37]], 42: [['left', 34], ['down', 66]], 43: [['up', 0], ['down', 100]]}
20482086     father: 20480974      {12: [['down', 100]], 13: [['right', 100]], 14: [['down', 98], ['right', 2]], 21: [['down', 100]], 23: [['down', 82], ['left', 18]], 24: [['left', 100]], 31: [['right', 21], ['down', 79]], 32: [['up', 23], ['right', 4], ['down', 73]], 34: [['up', 3], ['down', 97]], 41: [['up', 5], ['left', 55], ['down', 40]], 42: [['left', 96], ['down', 4]], 43: [['up', 3], ['down', 97]]}
